"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","TC-UNIT-005 Kiem tra gop 4 phep tinh tren cung bo du lieu (assertAll)","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.CalculatorTest","vn.edu.ktpm.minishop.unit.CalculatorTest","allOperations_onSameData"
"","5","TC-UNIT-015 multiply() TC-UNIT-015.1: 2/3 * 3/4 = 1/2","","2026-08-22","passed","2026-08-22","","Bon phep toan","vn.edu.ktpm.minishop.unit.RationalTest$Arithmetic","multiply"
"","1","TC-UNIT-049 clear() xoa toan bo gio, subtotal ve 0","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.CartTest","vn.edu.ktpm.minishop.unit.CartTest","clearCart"
"","1","TC-UNIT-051 [BIEN] Nguong 500.000 duoc tinh la >= (khach thuong, khong ma) TC-UNIT-051.2: tam tinh 500000 -> 5%","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.DiscountPolicyTest","vn.edu.ktpm.minishop.unit.DiscountPolicyTest","thresholdBoundary"
"","4","TC-UNIT-016 divide() - phu cac duong di doc lap cua luu do TC-UNIT-016.1: 1/2 : 1/3 = 3/2","","2026-08-22","passed","2026-08-22","","Bon phep toan","vn.edu.ktpm.minishop.unit.RationalTest$Arithmetic","divide"
"","2","TC-UNIT-052 Ma giam gia: khong phan biet hoa thuong, tu cat khoang trang TC-UNIT-052.2: ma [  SALE10  ] -> hop le = true","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.DiscountPolicyTest","vn.edu.ktpm.minishop.unit.DiscountPolicyTest","couponNormalization"
"","1","TC-UNIT-001 add() tra ve tong hai so TC-UNIT-001.1: 2 + 3 = 5","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.CalculatorTest","vn.edu.ktpm.minishop.unit.CalculatorTest","add_returnsSum"
"","5","TC-UNIT-011 Phan so luon o dang toi gian, mau so duong TC-UNIT-011.1: 2/4 -> 1/2","","2026-08-22","passed","2026-08-22","","Khoi tao va chuan hoa","vn.edu.ktpm.minishop.unit.RationalTest$Construction","normalize"
"","1","TC-UNIT-063 [LOP TUONG DUONG KHONG HOP LE] Ho ten rong hoac chua ky tu la TC-UNIT-063.2: ho ten [Nguyen Van 1] -> khong hop le","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.CheckoutValidatorTest","vn.edu.ktpm.minishop.unit.CheckoutValidatorTest","nameInvalidCharacters"
"","1","TC-UNIT-060 Toan bo thong tin hop le -> khong co loi","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.CheckoutValidatorTest","vn.edu.ktpm.minishop.unit.CheckoutValidatorTest","allValid"
"","2","TC-UNIT-061 [BIEN HOP LE] Ho ten dai 1..50 ky tu TC-UNIT-061.1: ho ten dai 1 ky tu -> hop le","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.CheckoutValidatorTest","vn.edu.ktpm.minishop.unit.CheckoutValidatorTest","nameLengthValid"
"","4","TC-UNIT-011 Phan so luon o dang toi gian, mau so duong TC-UNIT-011.2: 1/-2 -> -1/2","","2026-08-22","passed","2026-08-22","","Khoi tao va chuan hoa","vn.edu.ktpm.minishop.unit.RationalTest$Construction","normalize"
"","2","TC-UNIT-041 [BIEN KHONG HOP LE] So luong ngoai [1..10] bi tu choi, gio khong doi TC-UNIT-041.1: so luong khong hop le = 0","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.CartTest","vn.edu.ktpm.minishop.unit.CartTest","invalidQuantities"
"","1","TC-UNIT-050 Phu du 8 rule cua bang quyet dinh TC-UNIT-050 Rule 5: vip=false, subtotal=600000, coupon=SALE10 -> 15%","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.DiscountPolicyTest","vn.edu.ktpm.minishop.unit.DiscountPolicyTest","decisionTable"
"","4","TC-UNIT-012 Mau so bang 0 -> nem Illegal","","2026-08-22","passed","2026-08-22","","Khoi tao va chuan hoa","vn.edu.ktpm.minishop.unit.RationalTest$Construction","zeroDenominatorThrows"
"","1","TC-UNIT-050 Phu du 8 rule cua bang quyet dinh TC-UNIT-050 Rule 8: vip=false, subtotal=100000, coupon=null -> 0%","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.DiscountPolicyTest","vn.edu.ktpm.minishop.unit.DiscountPolicyTest","decisionTable"
"","7","TC-UNIT-017 divide() cho phan so 0 -> nem Illegal","","2026-08-22","passed","2026-08-22","","Bon phep toan","vn.edu.ktpm.minishop.unit.RationalTest$Arithmetic","divideByZeroRationalThrows"
"","82","TC-UNIT-022 toString() rut gon, bo mau so 1 TC-UNIT-022.1: toString cua 1/2 = 1/2","","2026-08-22","passed","2026-08-22","","So sanh va hien thi","vn.edu.ktpm.minishop.unit.RationalTest$Comparison","toStringFormat"
"","1","TC-UNIT-048 remove() xoa san pham; xoa san pham khong co -> loi","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.CartTest","vn.edu.ktpm.minishop.unit.CartTest","removeProduct"
"","53","TC-UNIT-032 [CHUA_DANG_NHAP -> KHOA_TAM] Sai du 3 lan -> khoa 15 phut","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.LoginServiceTest","vn.edu.ktpm.minishop.unit.LoginServiceTest","lockAfterThirdFailure"
"","3","TC-UNIT-019 notEquals cho hai phan so khac gia tri / khac kieu","","2026-08-22","passed","2026-08-22","","So sanh va hien thi","vn.edu.ktpm.minishop.unit.RationalTest$Comparison","notEqualsDifferentValue"
"","1","TC-UNIT-061 [BIEN HOP LE] Ho ten dai 1..50 ky tu TC-UNIT-061.2: ho ten dai 50 ky tu -> hop le","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.CheckoutValidatorTest","vn.edu.ktpm.minishop.unit.CheckoutValidatorTest","nameLengthValid"
"","1","TC-UNIT-070 Nhieu truong sai cung luc -> bao du tat ca loi","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.CheckoutValidatorTest","vn.edu.ktpm.minishop.unit.CheckoutValidatorTest","multipleErrorsReported"
"","1","TC-UNIT-066 [BIEN + LOP KHONG HOP LE] So dien thoai sai dinh dang TC-UNIT-066.2: SDT [09123456789] khong hop le","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.CheckoutValidatorTest","vn.edu.ktpm.minishop.unit.CheckoutValidatorTest","phoneInvalid"
"","3","TC-UNIT-069 Gio hang rong -> khong cho thanh toan","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.CheckoutValidatorTest","vn.edu.ktpm.minishop.unit.CheckoutValidatorTest","emptyCartRejected"
"","3","TC-UNIT-013 add() TC-UNIT-013.1: 1/2 + 1/3 = 5/6","","2026-08-22","passed","2026-08-22","","Bon phep toan","vn.edu.ktpm.minishop.unit.RationalTest$Arithmetic","add"
"","2","TC-UNIT-004 div() nem ArithmeticException khi chia cho 0","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.CalculatorTest","vn.edu.ktpm.minishop.unit.CalculatorTest","div_throwsWhenDivideByZero"
