Issue Type,Summary,Description,Priority,Labels,Epic Link,Assignee,Status,Sprint,Created,Due Date,Resolved,Original Estimate,Time Spent
Epic,EPIC-1 Unit Testing (JUnit 5 + EasyMock + JaCoCo),Kiem thu tang unit cho sut-core,High,automation,,A,Done,,16/08/2026 08:00,22/08/2026 22:00,19/08/2026 17:30,,
Epic,EPIC-2 Web UI Testing (Selenium + TestNG),Kiem thu giao dien web tren desktop,Highest,automation,,A,Done,,16/08/2026 08:00,22/08/2026 22:00,20/08/2026 16:00,,
Epic,EPIC-3 Web UI doi chung (Playwright),Viet lai 3 test case cua Selenium de so sanh cong cu,Medium,automation,,B,Done,,16/08/2026 08:00,22/08/2026 22:00,21/08/2026 11:00,,
Epic,EPIC-4 Mobile Testing (Appium),Kiem thu tren Android Emulator,Low,automation,,B,In Progress,,16/08/2026 08:00,22/08/2026 22:00,,,
Epic,EPIC-5 CI/CD & Reporting (Jenkins + GitHub Actions + Allure),Day chuyen tich hop lien tuc va bao cao,High,automation,,A,Done,,16/08/2026 08:00,22/08/2026 22:00,21/08/2026 17:00,,
Test,KTPM-101 Dang nhap voi tai khoan hop le,"Precondition: SUT dang chay. Steps: nhap standard_user/secret_sauce, bam Dang nhap. Expected: vao trang san pham, hien ten user, gio hang = 0. Ky thuat: so do chuyen trang thai S1.",Highest,test-case;smoke,EPIC-2,A,Done,KTPM Sprint 1,18/08/2026 10:00,20/08/2026 17:00,20/08/2026 09:15,1800,1800
Test,KTPM-102 Sai duoi 3 lan van cho nhap lai,Steps: nhap sai mat khau lan 1 va 2. Expected: bao con 2 / con 1 lan thu. Ky thuat: so do chuyen trang thai S2-S3.,High,test-case;regression,EPIC-2,A,Done,KTPM Sprint 1,18/08/2026 10:05,20/08/2026 17:00,20/08/2026 09:40,1800,1800
Test,KTPM-103 Sai du 3 lan thi khoa tai khoan,Steps: nhap sai 3 lan lien tiep. Expected: tai khoan bi khoa. Ky thuat: so do chuyen trang thai S4.,Highest,test-case;regression,EPIC-2,A,Done,KTPM Sprint 1,18/08/2026 10:10,20/08/2026 17:00,20/08/2026 10:05,1800,2400
Test,KTPM-104 Tu dong mo khoa sau 15 phut,"Steps: khoa tai khoan roi tua dong ho 15 phut, dang nhap dung. Expected: vao duoc, bo dem sai ve 0. Ky thuat: bien thoi gian, dung MutableClock.",High,test-case;regression,EPIC-1,A,Done,KTPM Sprint 1,18/08/2026 09:00,19/08/2026 17:00,19/08/2026 10:20,3600,3600
Test,KTPM-105 Dang bi khoa nhap dung van bi tu choi,"Steps: khi dang khoa, nhap dung mat khau. Expected: van bao dang bi khoa. Ky thuat: so do chuyen trang thai S5.",High,test-case;regression,EPIC-2,A,Done,KTPM Sprint 1,18/08/2026 10:15,20/08/2026 17:00,20/08/2026 10:30,1800,1800
Test,KTPM-106 Bo trong o nhap thi bao loi,Steps: bo trong o username roi bam Dang nhap. Expected: bao Vui long nhap. Ky thuat: so do chuyen trang thai S8.,Medium,test-case;regression,EPIC-2,B,Done,KTPM Sprint 1,18/08/2026 10:20,20/08/2026 17:00,20/08/2026 10:50,1800,1200
